
Host: macRoot.attlocal.net

Timers On : Tue Jul 14 07:22:09 2020
Timers Off: Tue Jul 14 07:25:05 2020

Wall Time:      175.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.300u      0.050s      1.107w     61 calls
DFH: initialize()                   :      4.117u      0.250s      3.716w     61 calls
DFH: AO Construction                :      0.017u      0.000s      0.011w     61 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w     61 calls
HF: Form core H                     :      0.067u      0.300s      0.237w     61 calls
HF: Form S/X                        :      0.017u      0.000s      0.011w     61 calls
HF: Guess                           :      6.400u      0.333s      5.627w     61 calls
SAD Guess                           :      6.150u      0.317s      5.364w     61 calls
HF: Form G                          :      0.033u      0.017s      0.049w    183 calls
JK: D                               :      0.000u      0.000s      0.004w    183 calls
JK: USO2AO                          :      0.000u      0.000s      0.008w    183 calls
JK: JK                              :      0.017u      0.000s      0.022w    183 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.017w    183 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    183 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w    183 calls
DFH: compute_K                      :      0.000u      0.000s      0.005w    183 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    183 calls
HF: Form F                          :      0.017u      0.000s      0.010w    183 calls
HF: Form D                          :      0.000u      0.000s      0.011w    183 calls
HF: DIIS                            :      0.267u      0.083s      0.288w    122 calls
DIISManager::add_entry              :      0.050u      0.083s      0.108w    122 calls
DIISManager::extrapolate            :      0.033u      0.000s      0.020w    122 calls
bMatrix setup                       :      0.017u      0.000s      0.003w    122 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.010w    122 calls
New vector                          :      0.000u      0.000s      0.004w    122 calls
HF: Form C                          :      0.033u      0.000s      0.009w    122 calls
CIWave: CIvect write                :      0.000u      0.000s      0.012w    436 calls
CIWave: CIvect read                 :      0.017u      0.050s      0.041w   3221 calls
CIWave: s2                          :      0.000u      0.000s      0.000w    103 calls
CIWave: s3                          :      0.000u      0.000s      0.001w    206 calls
ccenergy                            :      2.283u      9.150s     10.333w     15 calls
F build                             :      0.033u      0.067s      0.081w     91 calls
Wmbej build                         :      0.117u      0.017s      0.097w     91 calls
C->Wmbej                            :      0.000u      0.000s      0.009w     91 calls
F->Wmbej                            :      0.033u      0.017s      0.014w     91 calls
E->Wmbej                            :      0.017u      0.000s      0.020w     91 calls
X->Wmbej                            :      0.050u      0.000s      0.041w     91 calls
Z                                   :      0.017u      0.000s      0.002w     91 calls
T2 Build                            :      0.167u      0.133s      0.270w     91 calls
BT2                                 :      0.067u      0.017s      0.042w     91 calls
ABCD:new                            :      0.067u      0.017s      0.040w     91 calls
ABCD:S                              :      0.000u      0.000s      0.008w     91 calls
ABCD:A                              :      0.033u      0.000s      0.006w     91 calls
ABCD:axpy                           :      0.017u      0.000s      0.007w     91 calls
FT2                                 :      0.017u      0.017s      0.009w     91 calls
WmbejT2                             :      0.033u      0.083s      0.064w     91 calls
CT2                                 :      0.017u      0.017s      0.088w     91 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.300u      0.050s      1.107w     61 calls
DFH: initialize()                   :      4.117u      0.250s      3.716w     61 calls
| DFH: AO Construction              :      0.017u      0.000s      0.011w     61 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w     61 calls
HF: Form core H                     :      0.067u      0.300s      0.237w     61 calls
HF: Form S/X                        :      0.017u      0.000s      0.011w     61 calls
HF: Guess                           :      6.400u      0.333s      5.627w     61 calls
| SAD Guess                         :      6.150u      0.317s      5.364w     61 calls
HF: Form G                          :      0.033u      0.017s      0.049w    183 calls
| JK: D                             :      0.000u      0.000s      0.004w    183 calls
| JK: USO2AO                        :      0.000u      0.000s      0.008w    183 calls
| JK: JK                            :      0.017u      0.000s      0.022w    183 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.017w    183 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    183 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w    183 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.005w    183 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    183 calls
HF: Form F                          :      0.017u      0.000s      0.010w    183 calls
HF: Form D                          :      0.000u      0.000s      0.011w    183 calls
HF: DIIS                            :      0.267u      0.083s      0.288w    122 calls
| DIISManager::add_entry            :      0.050u      0.083s      0.108w    122 calls
| DIISManager::extrapolate          :      0.033u      0.000s      0.020w    122 calls
| | bMatrix setup                   :      0.017u      0.000s      0.003w    122 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.010w    122 calls
| | New vector                      :      0.000u      0.000s      0.004w    122 calls
HF: Form C                          :      0.033u      0.000s      0.009w    122 calls
CIWave: CIvect write                :      0.000u      0.000s      0.012w    436 calls
CIWave: CIvect read                 :      0.017u      0.050s      0.041w   3221 calls
CIWave: s2                          :      0.000u      0.000s      0.000w    103 calls
CIWave: s3                          :      0.000u      0.000s      0.001w    206 calls
ccenergy                            :      2.283u      9.150s     10.333w     15 calls
| F build                           :      0.033u      0.067s      0.081w     91 calls
| Wmbej build                       :      0.117u      0.017s      0.097w     91 calls
| | C->Wmbej                        :      0.000u      0.000s      0.009w     91 calls
| | F->Wmbej                        :      0.033u      0.017s      0.014w     91 calls
| | E->Wmbej                        :      0.017u      0.000s      0.020w     91 calls
| | X->Wmbej                        :      0.050u      0.000s      0.041w     91 calls
| Z                                 :      0.017u      0.000s      0.002w     91 calls
